Sl_No,State,District,District_Code,Crop,Season,Sowing_Period,Harvesting_Period,Sow_From_Day,Sow_From_Mon,Sow_To_Day,Sow_To_Mon,Harv_From_Day,Harv_From_Mon,Harv_To_Day,Harv_To_Mon,PDF_Page
4629,MP,NARSINGHPUR,452,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,103
4630,MP,NARSINGHPUR,452,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,103
4631,MP,NARSINGHPUR,452,TEORA,,-,-,,,,,,,,,103
4632,MP,NARSINGHPUR,452,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,103
4633,MP,NARSINGHPUR,452,LINSEED,,,,,,,,,,,,103
4634,MP,NARSINGHPUR,452,SAFFLOWER,,,,,,,,,,,,103
4635,MP,NARSINGHPUR,452,SUGARCANE,,Oct I W -March IV W,Oct I W -March IV W,4.0,10.0,25.0,3.0,4.0,10.0,25.0,3.0,103
4636,MP,NARSINGHPUR,452,COTTON,,,,,,,,,,,,103
4637,MP,SAGAR,427,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,103
4638,MP,SAGAR,427,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,103
4639,MP,SAGAR,427,BAJRA,,-,-,,,,,,,,,103
4640,MP,SAGAR,427,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,103
4641,MP,SAGAR,427,KODOKUTKI,,,-,,,,,,,,,103
4642,MP,SAGAR,427,TUR,,June IV W -July II W,Dec IV W -Jan III W,25.0,6.0,11.0,7.0,25.0,12.0,18.0,1.0,103
4643,MP,SAGAR,427,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,103
4644,MP,SAGAR,427,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,103
4645,MP,SAGAR,427,GROUNDNUT,,June IV W -July I W,Oct II W -III W,25.0,6.0,4.0,7.0,11.0,10.0,3.0,,103
4646,MP,SAGAR,427,SOYABEAN,,June IV W -July II W,Oct I W -II W,25.0,6.0,11.0,7.0,4.0,10.0,2.0,,103
4647,MP,SAGAR,427,SESAMUM,,July I W - IV W,Oct II W -IV W,4.0,7.0,,,11.0,10.0,,,103
4648,MP,SAGAR,427,NIGER SEED,,,,,,,,,,,,103
4649,MP,SAGAR,427,WHEAT,,Nov I W - III W,March II W -III W,4.0,11.0,3.0,,11.0,3.0,3.0,,103
4650,MP,SAGAR,427,BARLEY,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,103
4651,MP,SAGAR,427,GRAM,,Oct III W -Nov I W,March I W -II W,18.0,10.0,4.0,11.0,4.0,3.0,2.0,,103
4652,MP,SAGAR,427,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,103
4653,MP,SAGAR,427,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,103
4654,MP,SAGAR,427,TEORA,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,103
4655,MP,SAGAR,427,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,103
4656,MP,SAGAR,427,LINSEED,,Oct II W -IVW,Feb II W -Feb IV W,11.0,10.0,,,11.0,2.0,25.0,2.0,103
4657,MP,SAGAR,427,SAFFLOWER,,Sept III W -Oct IW,Feb II W -Feb IV W,18.0,9.0,4.0,10.0,11.0,2.0,25.0,2.0,103
4658,MP,SAGAR,427,SUGARCANE,,-,-,,,,,,,,,103
4659,MP,SAGAR,427,COTTON,,-,-,,,,,,,,,103
4660,MP,DAMOH,428,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,103
4661,MP,DAMOH,428,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,103
4662,MP,DAMOH,428,BAJRA,,-,-,,,,,,,,,104
4663,MP,DAMOH,428,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,104
4664,MP,DAMOH,428,KODOKUTKI,,-,-,,,,,,,,,104
4665,MP,DAMOH,428,TUR,,June IV W -July II W,Dec IV W -Jan III W,25.0,6.0,11.0,7.0,25.0,12.0,18.0,1.0,104
4666,MP,DAMOH,428,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,104
4667,MP,DAMOH,428,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,104
4668,MP,DAMOH,428,GROUNDNUT,,June IV W -July I W,Oct II W -III W,25.0,6.0,4.0,7.0,11.0,10.0,3.0,,104
4669,MP,DAMOH,428,SOYABEAN,,June IV W -July II W,Oct I W -II W,25.0,6.0,11.0,7.0,4.0,10.0,2.0,,104
4670,MP,DAMOH,428,SESAMUM,,July I W - IV W,Oct II W -IV W,4.0,7.0,,,11.0,10.0,,,104
4671,MP,DAMOH,428,NIGER SEED,,-,-,,,,,,,,,104
4672,MP,DAMOH,428,WHEAT,,Nov I W - III W,March II W -III W,4.0,11.0,3.0,,11.0,3.0,3.0,,104
4673,MP,DAMOH,428,BARLEY,,-,-,,,,,,,,,104
4674,MP,DAMOH,428,GRAM,,Oct III W -Nov I W,March I W -II W,18.0,10.0,4.0,11.0,4.0,3.0,2.0,,104
4675,MP,DAMOH,428,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,104
4676,MP,DAMOH,428,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,104
4677,MP,DAMOH,428,TEORA,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,104
4678,MP,DAMOH,428,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,104
4679,MP,DAMOH,428,LINSEED,,Oct II W -IVW,Feb II W -Feb IV W,11.0,10.0,,,11.0,2.0,25.0,2.0,104
4680,MP,DAMOH,428,SAFFLOWER,,-,-,,,,,,,,,104
4681,MP,DAMOH,428,SUGARCANE,,Oct I W -March IV W,Oct I W -March IV W,4.0,10.0,25.0,3.0,4.0,10.0,25.0,3.0,104
4682,MP,DAMOH,428,COTTON,,,,,,,,,,,,104
4683,MP,PANNA,426,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,104
4684,MP,PANNA,426,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,104
4685,MP,PANNA,426,BAJRA,,-,-,,,,,,,,,104
4686,MP,PANNA,426,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,104
4687,MP,PANNA,426,KODOKUTKI,,-,-,,,,,,,,,104
4688,MP,PANNA,426,TUR,,June IV W -July II W,Dec IV W -Jan III W,25.0,6.0,11.0,7.0,25.0,12.0,18.0,1.0,104
4689,MP,PANNA,426,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,104
4690,MP,PANNA,426,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,104
4691,MP,PANNA,426,GROUNDNUT,,-,-,,,,,,,,,104
4692,MP,PANNA,426,SOYABEAN,,June IV W -July II W,Oct I W -II W,25.0,6.0,11.0,7.0,4.0,10.0,2.0,,104
4693,MP,PANNA,426,SESAMUM,,July I W - IV W,Oct II W -IV W,4.0,7.0,,,11.0,10.0,,,104
4694,MP,PANNA,426,NIGER SEED,,-,-,,,,,,,,,104
4695,MP,PANNA,426,WHEAT,,Nov I W - III W,March II W -III W,4.0,11.0,3.0,,11.0,3.0,3.0,,104
4696,MP,PANNA,426,BARLEY,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,104
4697,MP,PANNA,426,GRAM,,Oct III W -Nov I W,March I W -II W,18.0,10.0,4.0,11.0,4.0,3.0,2.0,,104
4698,MP,PANNA,426,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,104
4699,MP,PANNA,426,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,104
4700,MP,PANNA,426,TEORA,,-,-,,,,,,,,,104
4701,MP,PANNA,426,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,104
4702,MP,PANNA,426,LINSEED,,Oct II W -IVW,Feb II W -Feb IV W,11.0,10.0,,,11.0,2.0,25.0,2.0,104
4703,MP,PANNA,426,SAFFLOWER,,-,-,,,,,,,,,104
4704,MP,PANNA,426,SUGARCANE,,,,,,,,,,,,104
4705,MP,PANNA,426,COTTON,,,,,,,,,,,,104
4706,MP,TIKAMGARH,424,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,104
4707,MP,TIKAMGARH,424,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,104
4708,MP,TIKAMGARH,424,BAJRA,,-,-,,,,,,,,,104
4709,MP,TIKAMGARH,424,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,104
4710,MP,TIKAMGARH,424,KODOKUTKI,,-,-,,,,,,,,,104
4711,MP,TIKAMGARH,424,TUR,,-,-,,,,,,,,,105
4712,MP,TIKAMGARH,424,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,105
4713,MP,TIKAMGARH,424,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,105
4714,MP,TIKAMGARH,424,GROUNDNUT,,June IV W -July I W,Oct II W -III W,25.0,6.0,4.0,7.0,11.0,10.0,3.0,,105
4715,MP,TIKAMGARH,424,SOYABEAN,,June IV W -July II W,Oct I W -II W,25.0,6.0,11.0,7.0,4.0,10.0,2.0,,105
4716,MP,TIKAMGARH,424,SESAMUM,,July I W - IV W,Oct II W -IV W,4.0,7.0,,,11.0,10.0,,,105
4717,MP,TIKAMGARH,424,NIGER SEED,,-,-,,,,,,,,,105
4718,MP,TIKAMGARH,424,WHEAT,,Nov I W - III W,March II W -III W,4.0,11.0,3.0,,11.0,3.0,3.0,,105
4719,MP,TIKAMGARH,424,BARLEY,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,105
4720,MP,TIKAMGARH,424,GRAM,,Oct III W -Nov I W,March I W -II W,18.0,10.0,4.0,11.0,4.0,3.0,2.0,,105
4721,MP,TIKAMGARH,424,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,105
4722,MP,TIKAMGARH,424,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,105
4723,MP,TIKAMGARH,424,TEORA,,-,-,,,,,,,,,105
4724,MP,TIKAMGARH,424,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,105
4725,MP,TIKAMGARH,424,LINSEED,,,,,,,,,,,,105
4726,MP,TIKAMGARH,424,SAFFLOWER,,,,,,,,,,,,105
4727,MP,TIKAMGARH,424,SUGARCANE,,Oct I W -March IV W,Oct I W -March IV W,4.0,10.0,25.0,3.0,4.0,10.0,25.0,3.0,105
4728,MP,TIKAMGARH,424,COTTON,,,,,,,,,,,,105
4729,MP,CHATTARPUR,425,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,105
4730,MP,CHATTARPUR,425,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,105
4731,MP,CHATTARPUR,425,BAJRA,,-,-,,,,,,,,,105
4732,MP,CHATTARPUR,425,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,105
4733,MP,CHATTARPUR,425,KODOKUTKI,,-,-,,,,,,,,,105
4734,MP,CHATTARPUR,425,TUR,,June IV W -July II W,Dec IV W -Jan III W,25.0,6.0,11.0,7.0,25.0,12.0,18.0,1.0,105
4735,MP,CHATTARPUR,425,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,105
4736,MP,CHATTARPUR,425,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,105
4737,MP,CHATTARPUR,425,GROUNDNUT,,June IV W -July I W,Oct II W -III W,25.0,6.0,4.0,7.0,11.0,10.0,3.0,,105
4738,MP,CHATTARPUR,425,SOYABEAN,,June IV W -July II W,Oct I W -II W,25.0,6.0,11.0,7.0,4.0,10.0,2.0,,105
4739,MP,CHATTARPUR,425,SESAMUM,,July I W - IV W,Oct II W -IV W,4.0,7.0,,,11.0,10.0,,,105
4740,MP,CHATTARPUR,425,NIGER SEED,,-,-,,,,,,,,,105
4741,MP,CHATTARPUR,425,WHEAT,,Nov I W - III W,March II W -III W,4.0,11.0,3.0,,11.0,3.0,3.0,,105
4742,MP,CHATTARPUR,425,BARLEY,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,105
4743,MP,CHATTARPUR,425,GRAM,,Oct III W -Nov I W,March I W -II W,18.0,10.0,4.0,11.0,4.0,3.0,2.0,,105
4744,MP,CHATTARPUR,425,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,105
4745,MP,CHATTARPUR,425,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,105
4746,MP,CHATTARPUR,425,TEORA,,-,-,,,,,,,,,105
4747,MP,CHATTARPUR,425,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,105
4748,MP,CHATTARPUR,425,LINSEED,,Oct II W -IVW,Feb II W -Feb IV W,11.0,10.0,,,11.0,2.0,25.0,2.0,105
4749,MP,CHATTARPUR,425,SAFFLOWER,,Sept III W -Oct IW,Feb II W -Feb IV W,18.0,9.0,4.0,10.0,11.0,2.0,25.0,2.0,105
4750,MP,CHATTARPUR,425,SUGARCANE,,,,,,,,,,,,105
4751,MP,CHATTARPUR,425,COTTON,,,,,,,,,,,,105
4752,MP,REWA,430,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,105
4753,MP,REWA,430,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,105
4754,MP,REWA,430,BAJRA,,June III W -July I W,Sept IV W -Oct I W,18.0,6.0,4.0,7.0,25.0,9.0,4.0,10.0,105
4755,MP,REWA,430,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,105
4756,MP,REWA,430,KODOKUTKI,,June IV W -July I W,Sept. IV W -Oct I W,25.0,6.0,4.0,7.0,25.0,9.0,4.0,10.0,105
4757,MP,REWA,430,TUR,,June IV W -July II W,Dec IV W -Jan III W,25.0,6.0,11.0,7.0,25.0,12.0,18.0,1.0,105
4758,MP,REWA,430,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,105
4759,MP,REWA,430,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,105
4760,MP,REWA,430,GROUNDNUT,,-,-,,,,,,,,,106
4761,MP,REWA,430,SOYABEAN,,June IV W -July II W,Oct I W -II W,25.0,6.0,11.0,7.0,4.0,10.0,2.0,,106
4762,MP,REWA,430,SESAMUM,,July I W - IV W,Oct II W -IV W,4.0,7.0,,,11.0,10.0,,,106
4763,MP,REWA,430,NIGER SEED,,-,-,,,,,,,,,106
4764,MP,REWA,430,WHEAT,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,106
4765,MP,REWA,430,BARLEY,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,106
4766,MP,REWA,430,GRAM,,Nov I W -Nov III W,March II W -III W,4.0,11.0,18.0,11.0,11.0,3.0,3.0,,106
4767,MP,REWA,430,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,106
4768,MP,REWA,430,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,106
4769,MP,REWA,430,TEORA,,-,-,,,,,,,,,106
4770,MP,REWA,430,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,106
4771,MP,REWA,430,LINSEED,,Oct II W -IVW,Feb II W -Feb IV W,11.0,10.0,,,11.0,2.0,25.0,2.0,106
4772,MP,REWA,430,SAFFLOWER,,-,-,,,,,,,,,106
4773,MP,REWA,430,SUGARCANE,,-,-,,,,,,,,,106
4774,MP,REWA,430,COTTON,,-,-,,,,,,,,,106
4775,MP,SIDHI,462,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,106
4776,MP,SIDHI,462,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,106
4777,MP,SIDHI,462,BAJRA,,June III W -July I W,Sept IV W -Oct I W,18.0,6.0,4.0,7.0,25.0,9.0,4.0,10.0,106
4778,MP,SIDHI,462,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,106
4779,MP,SIDHI,462,KODOKUTKI,,June IV W -July I W,Sept. IV W -Oct I W,25.0,6.0,4.0,7.0,25.0,9.0,4.0,10.0,106
4780,MP,SIDHI,462,TUR,,June IV W -July II W,Dec IV W -Jan III W,25.0,6.0,11.0,7.0,25.0,12.0,18.0,1.0,106
4781,MP,SIDHI,462,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,106
4782,MP,SIDHI,462,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,106
4783,MP,SIDHI,462,GROUNDNUT,,-,-,,,,,,,,,106
4784,MP,SIDHI,462,SOYABEAN,,June IV W -July II W,Oct I W -II W,25.0,6.0,11.0,7.0,4.0,10.0,2.0,,106
4785,MP,SIDHI,462,SESAMUM,,July I W - IV W,Oct II W -IV W,4.0,7.0,,,11.0,10.0,,,106
4786,MP,SIDHI,462,NIGER SEED,,-,-,,,,,,,,,106
4787,MP,SIDHI,462,WHEAT,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,106
4788,MP,SIDHI,462,BARLEY,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,106
4789,MP,SIDHI,462,GRAM,,Nov I W -Nov III W,March II W -III W,4.0,11.0,18.0,11.0,11.0,3.0,3.0,,106
4790,MP,SIDHI,462,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,106
4791,MP,SIDHI,462,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,106
4792,MP,SIDHI,462,TEORA,,-,-,,,,,,,,,106
4793,MP,SIDHI,462,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,106
4794,MP,SIDHI,462,LINSEED,,Oct II W -IVW,Feb II W -Feb IV W,11.0,10.0,,,11.0,2.0,25.0,2.0,106
4795,MP,SIDHI,462,SAFFLOWER,,-,-,,,,,,,,,106
4796,MP,SIDHI,462,SUGARCANE,,-,-,,,,,,,,,106
4797,MP,SIDHI,462,COTTON,,-,-,,,,,,,,,106
4798,MP,SINGROLI,463,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,106
4799,MP,SINGROLI,463,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,106
4800,MP,SINGROLI,463,BAJRA,,June III W -July I W,Sept IV W -Oct I W,18.0,6.0,4.0,7.0,25.0,9.0,4.0,10.0,106
4801,MP,SINGROLI,463,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,106
4802,MP,SINGROLI,463,KODOKUTKI,,June IV W -July I W,Sept. IV W -Oct I W,25.0,6.0,4.0,7.0,25.0,9.0,4.0,10.0,106
4803,MP,SINGROLI,463,TUR,,June IV W -July II W,Dec IV W -Jan III W,25.0,6.0,11.0,7.0,25.0,12.0,18.0,1.0,106
4804,MP,SINGROLI,463,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,106
4805,MP,SINGROLI,463,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,106
4806,MP,SINGROLI,463,GROUNDNUT,,-,-,,,,,,,,,106
4807,MP,SINGROLI,463,SOYABEAN,,-,-,,,,,,,,,106
4808,MP,SINGROLI,463,SESAMUM,,July I W - IV W,Oct II W -IV W,4.0,7.0,,,11.0,10.0,,,106
4809,MP,SINGROLI,463,NIGER SEED,,-,-,,,,,,,,,107
4810,MP,SINGROLI,463,WHEAT,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,107
4811,MP,SINGROLI,463,BARLEY,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,107
4812,MP,SINGROLI,463,GRAM,,Nov I W -Nov III W,March II W -III W,4.0,11.0,18.0,11.0,11.0,3.0,3.0,,107
4813,MP,SINGROLI,463,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,107
4814,MP,SINGROLI,463,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,107
4815,MP,SINGROLI,463,TEORA,,-,-,,,,,,,,,107
4816,MP,SINGROLI,463,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,107
4817,MP,SINGROLI,463,LINSEED,,Oct II W -IVW,Feb II W -Feb IV W,11.0,10.0,,,11.0,2.0,25.0,2.0,107
4818,MP,SINGROLI,463,SAFFLOWER,,-,-,,,,,,,,,107
4819,MP,SINGROLI,463,SUGARCANE,,-,-,,,,,,,,,107
4820,MP,SINGROLI,463,COTTON,,-,-,,,,,,,,,107
4821,MP,SATNA,429,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,107
4822,MP,SATNA,429,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,107
4823,MP,SATNA,429,BAJRA,,-,-,,,,,,,,,107
4824,MP,SATNA,429,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,107
4825,MP,SATNA,429,KODOKUTKI,,June IV W -July I W,Sept. IV W -Oct I W,25.0,6.0,4.0,7.0,25.0,9.0,4.0,10.0,107
4826,MP,SATNA,429,TUR,,June IV W -July II W,Dec IV W -Jan III W,25.0,6.0,11.0,7.0,25.0,12.0,18.0,1.0,107
4827,MP,SATNA,429,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,107
4828,MP,SATNA,429,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,107
4829,MP,SATNA,429,GROUNDNUT,,-,-,,,,,,,,,107
4830,MP,SATNA,429,SOYABEAN,,June IV W -July II W,Oct I W -II W,25.0,6.0,11.0,7.0,4.0,10.0,2.0,,107
4831,MP,SATNA,429,SESAMUM,,July I W - IV W,Oct II W -IV W,4.0,7.0,,,11.0,10.0,,,107
4832,MP,SATNA,429,NIGER SEED,,July IV W - Aug I W,Oct II W -IV W,25.0,7.0,4.0,8.0,11.0,10.0,,,107
4833,MP,SATNA,429,WHEAT,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,107
4834,MP,SATNA,429,BARLEY,,Nov II W - VI W,March II W -IV W,11.0,11.0,,,11.0,3.0,,,107
4835,MP,SATNA,429,GRAM,,Nov I W -Nov III W,March II W -III W,4.0,11.0,18.0,11.0,11.0,3.0,3.0,,107
4836,MP,SATNA,429,PEAS,,Oct II W -Nov II W,Feb II W -IV W,11.0,10.0,11.0,11.0,11.0,2.0,,,107
4837,MP,SATNA,429,LENTIL,,Oct II W -Nov II W,Jan IV W -Feb II W,11.0,10.0,11.0,11.0,25.0,1.0,11.0,2.0,107
4838,MP,SATNA,429,TEORA,,-,-,,,,,,,,,107
4839,MP,SATNA,429,R- SEED MUSTARD,,Oct I W -III W,Jan IV W -Feb II W,4.0,10.0,3.0,,25.0,1.0,11.0,2.0,107
4840,MP,SATNA,429,LINSEED,,Oct II W -IVW,Feb II W -Feb IV W,11.0,10.0,,,11.0,2.0,25.0,2.0,107
4841,MP,SATNA,429,SAFFLOWER,,-,-,,,,,,,,,107
4842,MP,SATNA,429,SUGARCANE,,-,-,,,,,,,,,107
4843,MP,SATNA,429,COTTON,,-,-,,,,,,,,,107
4844,MP,SHAHDOL,460,PADDY,,July I W -IV W,Nov II W -III W,4.0,7.0,,,11.0,11.0,3.0,,107
4845,MP,SHAHDOL,460,JOWAR,,June III W -July I W,Oct I W -III W,18.0,6.0,4.0,7.0,4.0,10.0,3.0,,107
4846,MP,SHAHDOL,460,BAJRA,,-,-,,,,,,,,,107
4847,MP,SHAHDOL,460,MAIZE,,June III W -July II W,Oct I W - III W,18.0,6.0,11.0,7.0,4.0,10.0,3.0,,107
4848,MP,SHAHDOL,460,KODOKUTKI,,June IV W -July I W,Sept. IV W -Oct I W,25.0,6.0,4.0,7.0,25.0,9.0,4.0,10.0,107
4849,MP,SHAHDOL,460,TUR,,June IV W -July II W,Dec IV W -Jan III W,25.0,6.0,11.0,7.0,25.0,12.0,18.0,1.0,107
4850,MP,SHAHDOL,460,URAD,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,107
4851,MP,SHAHDOL,460,MOONG,,June IV W -July II W,Sept II W -Oct I W,25.0,6.0,11.0,7.0,11.0,9.0,4.0,10.0,107
4852,MP,SHAHDOL,460,GROUNDNUT,,June IV W -July I W,Oct II W -III W,25.0,6.0,4.0,7.0,11.0,10.0,3.0,,107
